2025-11-22T05:59:28.865Z -Application started 
2025-11-22T05:59:28.866Z -Application event occurred 
2025-11-22T05:59:31.873Z -Current Memory usage: 42.04 
2025-11-22T05:59:34.887Z -Current Memory usage: 42.10 
2025-11-22T05:59:37.903Z -Current Memory usage: 42.16 
2025-11-22T05:59:40.912Z -Current Memory usage: 42.05 
2025-11-22T05:59:43.922Z -Current Memory usage: 42.11 
2025-11-22T05:59:46.940Z -Current Memory usage: 42.15 
2025-11-22T05:59:49.953Z -Current Memory usage: 42.08 
2025-11-22T05:59:52.966Z -Current Memory usage: 42.05 
2025-11-22T05:59:55.976Z -Current Memory usage: 42.03 
2025-11-22T05:59:58.985Z -Current Memory usage: 41.88 
2025-11-22T06:00:01.988Z -Current Memory usage: 41.87 
2025-11-22T06:00:04.994Z -Current Memory usage: 40.68 
2025-11-22T06:00:08.005Z -Current Memory usage: 40.49 
2025-11-22T06:00:11.010Z -Current Memory usage: 39.82 
2025-11-22T06:00:14.015Z -Current Memory usage: 39.27 
2025-11-22T06:00:17.021Z -Current Memory usage: 39.19 
2025-11-22T06:00:20.031Z -Current Memory usage: 38.46 
2025-11-22T06:00:23.031Z -Current Memory usage: 38.41 
2025-11-22T06:00:26.041Z -Current Memory usage: 38.27 
2025-11-22T06:00:29.047Z -Current Memory usage: 38.36 
2025-11-22T06:00:32.054Z -Current Memory usage: 38.67 
2025-11-22T06:00:35.068Z -Current Memory usage: 37.61 
2025-11-22T06:00:38.071Z -Current Memory usage: 37.70 
2025-11-22T06:00:41.085Z -Current Memory usage: 37.75 
2025-11-22T06:00:44.091Z -Current Memory usage: 37.80 
2025-11-22T06:00:47.106Z -Current Memory usage: 37.77 
2025-11-22T06:00:50.116Z -Current Memory usage: 37.81 
2025-11-22T06:00:53.123Z -Current Memory usage: 37.65 
2025-11-22T06:00:56.126Z -Current Memory usage: 36.77 
2025-11-22T06:00:59.133Z -Current Memory usage: 36.93 
2025-11-22T06:01:02.146Z -Current Memory usage: 37.21 
2025-11-22T06:01:05.150Z -Current Memory usage: 37.23 
2025-11-22T06:01:08.151Z -Current Memory usage: 37.79 
2025-11-22T06:01:11.164Z -Current Memory usage: 37.84 
2025-11-22T06:01:14.179Z -Current Memory usage: 37.92 
2025-11-22T06:01:17.179Z -Current Memory usage: 37.97 
2025-11-22T06:01:20.193Z -Current Memory usage: 37.97 
2025-11-22T06:01:23.208Z -Current Memory usage: 38.08 
2025-11-22T06:01:26.213Z -Current Memory usage: 38.10 
2025-11-22T06:01:29.222Z -Current Memory usage: 38.16 
2025-11-22T06:01:32.228Z -Current Memory usage: 38.17 
2025-11-22T06:01:35.231Z -Current Memory usage: 38.15 
2025-11-22T06:01:38.233Z -Current Memory usage: 38.00 
2025-11-22T06:01:41.243Z -Current Memory usage: 37.97 
2025-11-22T06:01:44.247Z -Current Memory usage: 37.92 
2025-11-22T06:01:47.259Z -Current Memory usage: 37.95 
2025-11-22T06:01:50.261Z -Current Memory usage: 38.03 
2025-11-22T06:01:53.271Z -Current Memory usage: 38.08 
2025-11-22T06:01:56.282Z -Current Memory usage: 38.09 
2025-11-22T06:01:59.282Z -Current Memory usage: 38.15 
2025-11-22T06:02:02.283Z -Current Memory usage: 36.30 
2025-11-22T06:02:05.298Z -Current Memory usage: 37.09 
2025-11-22T06:02:08.310Z -Current Memory usage: 37.36 
2025-11-22T06:02:11.325Z -Current Memory usage: 37.36 
2025-11-22T06:02:14.334Z -Current Memory usage: 37.43 
2025-11-22T06:02:17.345Z -Current Memory usage: 37.45 
2025-11-22T06:02:20.351Z -Current Memory usage: 37.38 
2025-11-22T06:02:23.355Z -Current Memory usage: 36.98 
2025-11-22T06:02:26.362Z -Current Memory usage: 36.91 
2025-11-22T06:02:29.372Z -Current Memory usage: 36.89 
2025-11-22T06:02:32.386Z -Current Memory usage: 37.41 
2025-11-22T06:02:35.396Z -Current Memory usage: 37.61 
2025-11-22T06:02:38.408Z -Current Memory usage: 37.72 
2025-11-22T06:02:41.421Z -Current Memory usage: 37.77 
2025-11-22T06:02:44.434Z -Current Memory usage: 37.85 
2025-11-22T06:02:47.448Z -Current Memory usage: 37.88 
2025-11-22T06:02:50.453Z -Current Memory usage: 37.89 
2025-11-22T06:02:53.468Z -Current Memory usage: 37.93 
2025-11-22T06:02:56.484Z -Current Memory usage: 37.94 
2025-11-22T06:02:59.484Z -Current Memory usage: 37.94 
2025-11-22T06:03:02.492Z -Current Memory usage: 37.95 
2025-11-22T06:03:05.505Z -Current Memory usage: 37.95 
2025-11-22T06:03:08.508Z -Current Memory usage: 37.92 
2025-11-22T06:03:11.515Z -Current Memory usage: 37.72 
